Company,Location,Job Function,Date of Submission,Hiring Interns,Year Founded,Size Range,Current Employee Estimate
Unity,New York,Operations,4/8/20 0:28,Yes,1995,201 - 500,121
Unity Technologies,California,HR,4/17/20 18:51,No,2004,1001 - 5000,1177
Unqork,New York,"Software Engineer,Designer,Operations,Marketing,Sales,Customer Service,Data Science,Product Manager",4/23/20 19:20,No,2017,Nov-50,17
Unum,Georgia,HR,4/17/20 18:51,No,1848,10001+,5259
Upswing,Texas,"Software Engineer,Operations,Data Science",4/23/20 19:20,No,2004,Nov-50,10
Upwork,California,"Sales,Finance/Accounting",4/8/20 0:02,No,2015,10001+,15693
V3 Talent Partners Inc.,California,HR,4/17/20 18:51,No,2018,10-Jan,2
Vanda Pharmaceuticals,Washington D.C.,Marketing,4/17/20 10:01,No,2003,201 - 500,186
Vanta,California,"Sales,Software Engineer,Product Designer",4/23/20 14:43,No,1854,10-Jan,1
Veeva,California,Software Engineer,4/17/20 15:25,No,2007,Nov-50,11
Venmo,"California, New York",Marketing,4/7/20 22:38,No,2009,201 - 500,162
Verily,"California, Massachusetts",Hardware Engineer,4/8/20 1:02,No,2015,10-Jan,0
"Verism Systems, Inc",Arizona,Operation,4/17/20 18:51,No,2005,10-Jan,2
Verkada,California,"Marketing,Sales",4/23/20 19:20,No,2016,Nov-50,21
Vet2Tech,New Jersey,Operation,4/17/20 18:51,No,2012,Nov-50,10
Viacom,New York,Product Manager,4/17/20 18:51,No,1971,10001+,5535
"Viaduct, Inc.",California,"Software Engineer,Marketing,Data Science",4/23/20 19:20,No,2016,10-Jan,4
Viagogo,New York,"Business/Strategy,Software Engineer,Product Manager,IT,Data Science",4/15/20 12:49,No,2005,201 - 500,148
Vidoomy,Massachusetts,Customer Service,4/17/20 18:51,No,2017,10-Jan,2
Vimeo,New York,Product Manager,4/8/20 0:02,No,2004,501 - 1000,324
Vineti,California,"Software Engineer,Designer,Operations,Marketing,Product Manager",4/23/20 19:20,No,2016,51 - 200,43
Virtuance,California,Business/Strategy,4/17/20 18:51,No,2010,51 - 200,49
Visionairy Health,Massachusetts,"Software Engineer,Marketing,Sales",4/23/20 19:20,No,2017,10-Jan,1
Vital Proteins,California,Operation,4/17/20 18:51,No,2014,51 - 200,97
Walmart,California,Product Manager,4/28/20 17:07,Yes,1962,10001+,120753
Wantedly Singapore,Singapore,"Operations,Marketing,Sales",4/23/20 19:20,No,2010,10-Jan,1
Wayfair,Massachusetts,Software Engineer,4/8/20 0:35,No,2002,5001 - 10000,4379
Weee!,California,Product Manager,4/17/20 18:51,No,2015,Nov-50,8
Wells Fargo,Georgia,Operation,4/16/20 6:21,Yes,1852,10001+,109532
Wepay,California,Software Engineer,4/15/20 16:15,No,2008,201 - 500,149
Western Digital,California,Marketing,4/17/20 10:01,Yes,1970,10001+,6129
Westerra Credit Union,Alabama,Operation,4/17/20 18:51,No,1934,201 - 500,139
Whatsapp,California,Software Engineer,4/8/20 0:14,No,1983,51 - 200,47
Whitley Penn,Texas,Finance/Accounting,4/20/20 14:31,No,1983,501 - 1000,338
Wing,Washington D.C.,Legal,4/17/20 18:51,No,1979,51 - 200,66
"Wiser Solutions, Inc.",California,Product Manager,4/17/20 18:51,No,2012,51 - 200,83
Wish,California,Operation,4/17/20 9:56,Yes,2010,201 - 500,240
Wistia,Massachusetts,Marketing,4/16/20 5:13,No,2006,51 - 200,68
Wondery,California,Marketing,4/16/20 5:13,No,2016,Nov-50,20
Wonolo,California,"Operations,Marketing,Sales,Customer Service",4/23/20 19:20,No,2013,51 - 200,83
Workstream,California,Product Manager,4/23/20 19:20,No,2017,10-Jan,0
World Financial Group,US,"Business/Strategy,Finance/Accounting",4/19/20 14:45,No,1991,Nov-50,21
Woven,California,Marketing,4/16/20 5:07,No,2017,10-Jan,4
Wpromote,California,Software Engineer,4/23/20 19:20,No,2001,501 - 1000,287
"Xcalar, Inc.",New York,HR,4/17/20 18:51,No,2013,Nov-50,24
Yieldstreet,New York,Software Engineer,4/16/20 5:02,No,2015,51 - 200,31
Zendesk,"California, Wisconsin, New York, Oregon, Florida, ","Marketing,Designer,Sales,Other,Finance/Accounting,Legal,HR,Customer Service,Data Science,Business/Strategy",4/8/20 4:51,No,2007,1001 - 5000,1506
Zenex Partners,Pennsylvania,Customer Service,4/17/20 18:51,No,2003,Nov-50,22
Zennify,US,"Consulting,Software Engineer",4/14/20 23:07,No,2011,Nov-50,22
Zillow,"Washington, California, Arizona","Business/Strategy,Data Science,Finance/Accounting,IT,Software Engineer,Product Manager",4/15/20 16:44,Yes,2006,1001 - 5000,725
Zipari,New York,Software Engineer,4/24/20 16:18,No,2014,51 - 200,58
Zocdoc,New York,"Software Engineer,Designer,Operations,Marketing,Sales,Finance/Accounting,Product Manager",4/23/20 19:20,Yes,2007,501 - 1000,442
Zoom,"California, Colorado","Data Science,Product Manager,Marketing",4/7/20 22:38,Yes,2011,Nov-50,16
Zoom Video Communications,California,Product Manager,4/16/20 6:14,No,2011,1001 - 5000,631
Zulily,"Florida, Washington, Tennessee, Ohio, Pennsylvania, Virginia, Texas","Sales,Customer Service,Other,Product Designer,Software Engineer,IT",4/8/20 5:45,No,2009,1001 - 5000,1356
Zum,California,Finance/Accounting,4/7/20 21:33,No,2014,51 - 200,45
Zumper,"California, Arizona, Pennsylvania, Minnesota, Wisconsin, Texas, Oregon, Ohio","Designer,Marketing,Sales,Customer Service,Product Manager",4/23/20 19:20,No,2012,51 - 200,78
Zuora,California,Product Manager,4/17/20 18:51,No,2007,1001 - 5000,549
Zyper,California,"Marketing,Operation",4/17/20 9:56,No,2016,Nov-50,9
