Company,Location,Job Function,Date of Submission,Hiring Interns,Year Founded,Size Range,Current Employee Estimate
Chan Zuckerberg Initiative,California,"Product Manager,Data Science,Finance/Accounting,HR,Product Designer,Software Engineer",4/8/20 3:26,No,2015,201 - 500,173
Channel Impact,California,Marketing,4/17/20 18:51,No,2005,Nov-50,23
Channel Op,Utah,"Sales,Finance/Accounting",4/8/20 3:26,No,2015,10-Jan,5
Chase,Illinois,Operation,4/16/20 5:43,No,2004,10001+,11470
Chegg Inc.,New York,Business/Strategy,4/16/20 5:13,No,2007,1001 - 5000,1131
Cherre,New York,Sales,4/24/20 16:18,No,2016,10-Jan,5
Chevron Federal Credit Union,Oregon,Data Science,4/16/20 6:28,No,1935,201 - 500,132
Chewy,"Floria, Massachusetts","Finance/Accounting,Software Engineer,Product Manager",4/8/20 0:21,Yes,2011,1001 - 5000,935
Chime,California,"Designer,Data Science,IT,Marketing,Product Designer,Product Manager,Software Engineer",4/29/20 1:21,No,1992,51 - 200,63
Chippin,New York,"Designer,Operations,Marketing,Sales,Finance/Accounting,Data Science",4/23/20 19:20,No,2016,10-Jan,2
Choco,Germany,"Designer,Marketing,Sales",4/23/20 19:20,No,2001,51 - 200,51
Chronosphere,New York,"Software Engineer,Designer",4/23/20 19:20,No,2019,10-Jan,1
Cigna,California,Operation,4/17/20 18:51,Yes,1982,10001+,14932
Cisco,California,Software Engineer,4/11/20 11:58,Yes,1984,10001+,61803
Citadel,Illinois,Software Engineer,4/8/20 0:19,Yes,1979,51 - 200,66
Citigroup,New York,"Consulting,Software Engineer",4/12/20 16:23,No,1998,1001 - 5000,587
Clearlink,Utah,Marketing,4/22/20 18:33,No,2003,1001 - 5000,647
Clever,"California, North Carolina","Software Engineer,Product Manager,Data Science,Operations,Customer Service,Sales,Marketing",4/8/20 3:31,No,2009,51 - 200,42
Clevertech,New York,Software Engineer,4/24/20 16:18,No,2000,51 - 200,54
Clinical Management Consultants,Ohio,HR,4/17/20 18:51,No,2008,51 - 200,31
Clockwise,California,"Designer,Marketing",4/23/20 19:20,No,2016,Nov-50,7
Cloudreach,"New York, Illinois, Georgia, Texas, Virginia","Product Manager,Software Engineer",4/16/20 2:28,No,2009,501 - 1000,431
Coast Dental,Indiana,Operation,4/17/20 18:51,No,1992,501 - 1000,306
Coda Search,Washington,Operation,4/17/20 18:51,No,2011,Nov-50,17
Codecademy,New York,"Software Engineer,Designer,Operations,Marketing,Sales,Customer Service,Finance/Accounting,Data Science,Product Manager",4/23/20 19:20,No,2011,201 - 500,137
Codegram,Barcelona,Software Engineer,4/16/20 3:01,No,2009,Nov-50,6
Codi,California,Product Designer,4/8/20 3:38,No,2010,10-Jan,3
Coffey Communications,Washington,Marketing,4/17/20 18:51,No,1975,51 - 200,48
Coinbase,"California, New York","Software Engineer,Product Designer,Designer,Data Science,Business/Strategy,Product Manager,Finance/Accounting,HR,Sales,Operations",4/16/20 8:49,Yes,2012,501 - 1000,315
Collective Health,California,"Customer Service,Product Manager,Software Engineer,Product Designer,Sales",4/16/20 3:48,No,2013,501 - 1000,274
Commvault,Indi,"Customer Service,Operations",4/15/20 8:14,No,1996,1001 - 5000,1867
